query,labels
I can't get to sleep ,system_user_can_not_sleep 
I'm insomnious ,system_user_can_not_sleep 
I can't get no sleep ,system_user_can_not_sleep 
I'm sleepless ,system_user_can_not_sleep 
I'm insomniac ,system_user_can_not_sleep 
I can't sleep ,system_user_can_not_sleep 
I can't get any sleep ,system_user_can_not_sleep 
I'm not talking to you anymore ,system_user_does_not_want_to_talk 
let's stop talking for a minute ,system_user_does_not_want_to_talk 
I don't want to talk to you ,system_user_does_not_want_to_talk 
I don't want to talk ,system_user_does_not_want_to_talk 
bad time for talking ,system_user_does_not_want_to_talk 
I'm not in the mood for chatting ,system_user_does_not_want_to_talk 
let's not talk ,system_user_does_not_want_to_talk 
I'm excited to start our friendship ,system_user_excited 
I'm really excited ,system_user_excited 
I am excited ,system_user_excited 
how excited I am ,system_user_excited 
I'm thrilled ,system_user_excited 
I'm excited about working with you ,system_user_excited 
I'm a little tired and I want to go to bed ,system_user_going_to_bed 
time for us to go to bed ,system_user_going_to_bed 
I'm going to bed ,system_user_going_to_bed 
is it time for bed yet ,system_user_going_to_bed 
going to bed now ,system_user_going_to_bed 
it's bed time ,system_user_going_to_bed 
I'd like to go to bed ,system_user_going_to_bed 
let's go to bed ,system_user_going_to_bed 
it's time to go to bed ,system_user_going_to_bed 
I'm doing good ,system_user_good 
I'm good ,system_user_good 
I'm doing just great ,system_user_good 
I am good ,system_user_good 
I'm doing fine ,system_user_good 
I'm great thanks ,system_user_good 
I'm happy to see you ,system_user_happy 
if you're happy then I'm happy ,system_user_happy 
happy ,system_user_happy 
I'm happy to help ,system_user_happy 
I am happy ,system_user_happy 
I'm happy for you ,system_user_happy 
I'm happy to see you ,system_user_happy 
it's my birthday today ,system_user_has_birthday 
I was born today ,system_user_has_birthday 
today is my birthday ,system_user_has_birthday 
it is my birthday ,system_user_has_birthday 
I'm celebrating my birthday today ,system_user_has_birthday 
it's my b-day ,system_user_has_birthday 
I am here ,system_user_here 
I'm right here ,system_user_here 
here I am ,system_user_here 
can you tell if I'm here or not ,system_user_here 
I'm already here ,system_user_here 
I am joking ,system_user_joking 
joking ,system_user_joking 
I was just joking ,system_user_joking 
I'm kidding ,system_user_joking 
it's a joke ,system_user_joking 
just kidding ,system_user_joking 
it was a joke ,system_user_joking 
I'm just being funny ,system_user_joking 
I'm just playing with you ,system_user_joking 
kidding ,system_user_joking 
I liked you ,system_user_likes_agent 
I really do like you ,system_user_likes_agent 
but I really like you ,system_user_likes_agent 
okay I like you too ,system_user_likes_agent 
I like you already ,system_user_likes_agent 
you are so special ,system_user_likes_agent 
cuz I like you ,system_user_likes_agent 
I like you the way you are ,system_user_likes_agent 
but I like you so much ,system_user_likes_agent 
you are special to me ,system_user_likes_agent 
I like you just the way you are ,system_user_likes_agent 
I like your smile ,system_user_likes_agent 
like you a lot ,system_user_likes_agent 
I like you too you're one of my favorite people to chat with ,system_user_likes_agent 
hey I like you ,system_user_likes_agent 
sorry I like you ,system_user_likes_agent 
I do like you ,system_user_likes_agent 
you're special ,system_user_likes_agent 
good I like you ,system_user_likes_agent 
I like you you're nice ,system_user_likes_agent 
you are really special ,system_user_likes_agent 
yeah I like you ,system_user_likes_agent 
thanks I like you too ,system_user_likes_agent 
you are so sweet ,system_user_likes_agent 
I like you baby ,system_user_likes_agent 
yes you are special ,system_user_likes_agent 
no I like you the way you are ,system_user_likes_agent 
well you are special ,system_user_likes_agent 
I like you as you are ,system_user_likes_agent 
I like you a lot ,system_user_likes_agent 
you're awesome I like you ,system_user_likes_agent 
I like you ,system_user_likes_agent 
I really like you ,system_user_likes_agent 
okay I like you ,system_user_likes_agent 
I like you now ,system_user_likes_agent 
hi I like you ,system_user_likes_agent 
but I like u ,system_user_likes_agent 
thank you I like you too ,system_user_likes_agent 
just like you ,system_user_likes_agent 
I'm starting to like you ,system_user_likes_agent 
I really really like you ,system_user_likes_agent 
I think I like you ,system_user_likes_agent 
I just like you ,system_user_likes_agent 
you are very special to me ,system_user_likes_agent 
I like that about you ,system_user_likes_agent 
I like you more ,system_user_likes_agent 
but I like you ,system_user_likes_agent 
I like you as a friend ,system_user_likes_agent 
you are special ,system_user_likes_agent 
I kinda like you ,system_user_likes_agent 
you're very special ,system_user_likes_agent 
you are so special to me ,system_user_likes_agent 
you're very special to me ,system_user_likes_agent 
I like you so ,system_user_likes_agent 
I like u ,system_user_likes_agent 
that's because you are special ,system_user_likes_agent 
of course I like you ,system_user_likes_agent 
yes I like you ,system_user_likes_agent 
but I like you just the way you are ,system_user_likes_agent 
that's what I like about you ,system_user_likes_agent 
that's why I like you ,system_user_likes_agent 
I also like you ,system_user_likes_agent 
I like you so much ,system_user_likes_agent 
you are very special ,system_user_likes_agent 
you're funny I like you ,system_user_likes_agent 
you're so special to me ,system_user_likes_agent 
I like you very much ,system_user_likes_agent 
you're so special ,system_user_likes_agent 
I like you you're cool ,system_user_likes_agent 
I like you too much ,system_user_likes_agent 
I like you very ,system_user_likes_agent 
you are special for me ,system_user_likes_agent 
I said I like you ,system_user_likes_agent 
you know I like you ,system_user_likes_agent 
I really really really really like you ,system_user_likes_agent 
I like you too ,system_user_likes_agent 
really like you ,system_user_likes_agent 
I'm really lonely ,system_user_lonely 
I feel lonely ,system_user_lonely 
I'm very lonely ,system_user_lonely 
I am feeling lonely ,system_user_lonely 
I'm so lonely ,system_user_lonely 
I am lonely ,system_user_lonely 
how do I look ,system_user_looks_like 
do you know what I look like ,system_user_looks_like 
what do you think I look like ,system_user_looks_like 
do I look good ,system_user_looks_like 
what do I look like ,system_user_looks_like 
can you see what I look like ,system_user_looks_like 
you know I love you ,system_user_loves_agent 
love you ,system_user_loves_agent 
I love you ,system_user_loves_agent 
I adore you ,system_user_loves_agent 
loving you ,system_user_loves_agent 
I think I love you ,system_user_loves_agent 
I love you so much ,system_user_loves_agent 
I am in love with you ,system_user_loves_agent 
I love you too ,system_user_loves_agent 
I miss you much ,system_user_misses_agent 
already miss you ,system_user_misses_agent 
I've missed you ,system_user_misses_agent 
miss you ,system_user_misses_agent 
I miss you ,system_user_misses_agent 
I missed you ,system_user_misses_agent 
missing you ,system_user_misses_agent 
can you offer any advice ,system_user_needs_advice 
any advice ,system_user_needs_advice 
can I ask for your advice ,system_user_needs_advice 
what should I do ,system_user_needs_advice 
I need advice ,system_user_needs_advice 
what should I do about it ,system_user_needs_advice 
give me some good advice ,system_user_needs_advice 
I need an advice from you ,system_user_needs_advice 
I could use some advice ,system_user_needs_advice 
do you have any advice for me ,system_user_needs_advice 
help me with advice ,system_user_needs_advice 
can you give me advice ,system_user_needs_advice 
what do you suggest ,system_user_needs_advice 
give me some advice about ,system_user_needs_advice 
advise me ,system_user_needs_advice 
any suggestions ,system_user_needs_advice 
can you advise me ,system_user_needs_advice 
guide me ,system_user_needs_advice 
what do you recommend ,system_user_needs_advice 
I seek your advice ,system_user_needs_advice 
what can you recommend ,system_user_needs_advice 
what is your advice ,system_user_needs_advice 
give me a wise advice ,system_user_needs_advice 
I am sad ,system_user_sad 
I am upset ,system_user_sad 
I'm not happy ,system_user_sad 
I am depressed ,system_user_sad 
I'm unhappy ,system_user_sad 
I'm grieving ,system_user_sad 
I'm having a bad day ,system_user_sad 
I want to cry ,system_user_sad 
I am feeling sad ,system_user_sad 
I'm falling asleep on my feet ,system_user_sleepy 
I'm falling asleep ,system_user_sleepy 
I'm sleeping ,system_user_sleepy 
I am sleepy ,system_user_sleepy 
I want to sleep ,system_user_sleepy 
testing chatbot ,system_user_testing_agent 
I want to test you ,system_user_testing_agent 
just testing you ,system_user_testing_agent 
test ,system_user_testing_agent 
can I test you ,system_user_testing_agent 
let me test you ,system_user_testing_agent 
I am testing you ,system_user_testing_agent 
testing ,system_user_testing_agent 
I feel tired ,system_user_tired 
I'm getting tired ,system_user_tired 
I'm worn out ,system_user_tired 
I'm drained ,system_user_tired 
I grow weary ,system_user_tired 
I've overworked ,system_user_tired 
I'm exhausted ,system_user_tired 
I am tired ,system_user_tired 
I can't wait anymore ,system_user_waits 
still waiting ,system_user_waits 
how long do I have to wait ,system_user_waits 
I'll wait ,system_user_waits 
I'm waiting ,system_user_waits 
